time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
19.2,1060007293.391,5367733802.7836,483927961.32752,12.9375,3840032498.7051,0.011849168553391,293.26978808186,0.01938432
19.3,1069874941.9528,5396516931.5074,502843368.94707,12.9375,3840032498.7051,0.011849168553391,292.02519439018,0.019486245
19.4,1079651370.126,5425176219.7772,521726157.21566,12.9375,3840032498.7051,0.011849168553391,290.78924479548,0.01958818
19.5,1089337544.7973,5453712529.5914,540576221.24204,12.9375,3840032498.7051,0.011849168553391,289.56185429347,0.019690125
19.6,1098934419.7315,5482126714.4696,559393460.76146,12.9375,3840032498.7051,0.011849168553391,288.3429388699,0.01979208
19.7,1108442935.8078,5510419619.5521,578177780.03095,12.9375,3840032498.7051,0.011849168553391,287.13241548963,0.019894045
19.8,1117864021.2041,5538592081.6974,596929087.72979,12.9375,3840032498.7051,0.011849168553391,285.93020208484,0.01999602
19.9,1127198591.577,5566644929.5792,615647296.8599,12.9375,3840032498.7051,0.011849168553391,284.73621754405,0.020098005
20,1136447550.2979,5594578983.7819,634332324.62746,12.9375,3840032498.7051,0.011849168553391,283.55038170604,0.0202
20.1,1145611788.5969,5622395056.8956,652984092.38665,12.9375,3840032498.7051,0.011849168553391,282.37261533919,0.020302005
20.2,1154692185.7902,5650093953.6089,671602525.50213,12.9375,3840032498.7051,0.011849168553391,281.20284014116,0.02040402
20.3,1163689609.4528,5677676470.8022,690187553.27272,12.9375,3840032498.7051,0.011849168553391,280.04097872426,0.020506045
20.4,1172604915.5926,5705143397.6386,708739108.84404,12.9375,3840032498.7051,0.011849168553391,278.88695460373,0.02060808
20.5,1181438948.8426,5732495515.6546,727257129.11304,12.9375,3840032498.7051,0.011849168553391,277.74069218884,0.020710125
20.6,1190192542.6318,5759733598.849,745741554.64244,12.9375,3840032498.7051,0.011849168553391,276.60211677193,0.02081218
20.7,1198866519.3673,5786858413.7715,764192329.56713,12.9375,3840032498.7051,0.011849168553391,275.47115451969,0.020914245
20.8,1207461690.5886,5813870719.6097,782609401.52762,12.9375,3840032498.7051,0.011849168553391,274.34773245893,0.02101632
20.9,1215978857.1648,5840771268.2754,800992721.56279,12.9375,3840032498.7051,0.011849168553391,273.23177847191,0.021118405
21,1224418809.421,5867560804.4897,819342244.05793,12.9375,3840032498.7051,0.011849168553391,272.12322127975,0.0212205
21.1,1232782327.3446,5894240065.867,837657926.6324,12.9375,3840032498.7051,0.011849168553391,271.02199043973,0.021322605
21.2,1241070180.7221,5920809782.9984,855939730.08509,12.9375,3840032498.7051,0.011849168553391,269.92801633009,0.02142472
21.3,1249283129.2916,5947270679.5338,874187618.32213,12.9375,3840032498.7051,0.011849168553391,268.84123013955,0.021526845
21.4,1257421922.9238,5973623472.2626,892401558.25098,12.9375,3840032498.7051,0.011849168553391,267.7615638641,0.02162898
21.5,1265487301.7404,5999868871.1943,910581519.76006,12.9375,3840032498.7051,0.011849168553391,266.68895028612,0.021731125
21.6,1273479996.3024,6026007579.6377,928727475.58752,12.9375,3840032498.7051,0.011849168553391,265.62332297741,0.02183328
21.7,1281400727.727,6052040294.2785,946839401.29681,12.9375,3840032498.7051,0.011849168553391,264.56461628008,0.021935445
21.8,1289250207.8438,6077967705.2572,964917275.18915,12.9375,3840032498.7051,0.011849168553391,263.51276530105,0.02203762
21.9,1297029139.35,6103790496.245,982961078.23423,12.9375,3840032498.7051,0.011849168553391,262.46770590314,0.022139805
22,1304738215.9375,6129509344.5193,1000970794.0127,12.9375,3840032498.7051,0.011849168553391,261.4293746941,0.022242
22.1,1312378122.4257,6155124921.038,1018946408.6543,12.9375,3840032498.7051,0.011849168553391,260.39770901699,0.022344205
22.2,1319949534.921,6180637890.5131,1036887910.7582,12.9375,3840032498.7051,0.011849168553391,259.37264694444,0.02244642
22.3,1327453120.93,6206048911.4833,1054795291.3517,12.9375,3840032498.7051,0.011849168553391,258.35412726547,0.022548645
22.4,1334889539.4958,6231358636.3853,1072668543.821,12.9375,3840032498.7051,0.011849168553391,257.3420894786,0.02265088
22.5,1342259441.3341,6256567711.6251,1090507663.8528,12.9375,3840032498.7051,0.011849168553391,256.33647378268,0.022753125
22.6,1349563468.9525,6281676777.6475,1108312649.3754,12.9375,3840032498.7051,0.011849168553391,255.33722106857,0.02285538
22.7,1356802256.7853,6306686469.0049,1126083500.5064,12.9375,3840032498.7051,0.011849168553391,254.34427290955,0.022957645
22.8,1363976431.3075,6331597414.4262,1143820219.4948,12.9375,3840032498.7051,0.011849168553391,253.35757155344,0.02305992
22.9,1371086611.1565,6356410236.8833,1161522810.6655,12.9375,3840032498.7051,0.011849168553391,252.37705991425,0.023162205
